instid;sv_name;isi_id;cxfp
367;Institutionen för arkitektur;000208706000006;0.00000000000000000000
367;Institutionen för arkitektur;000274375200012;0.35705389588351187589
367;Institutionen för arkitektur;000274990200008;0.15065913667472599562
367;Institutionen för arkitektur;000277223600006;0.19195130295945812463
367;Institutionen för arkitektur;000279640000005;0.64322000781553128684
367;Institutionen för arkitektur;000283908000007;1.2221238211595537
367;Institutionen för arkitektur;000287493300001;0.00000000000000000000
367;Institutionen för arkitektur;000290772200002;0.06448717819555658253
367;Institutionen för arkitektur;000298062300004;1.7269225597440098
367;Institutionen för arkitektur;000308524700007;0.52045222963542333982
367;Institutionen för arkitektur;000324040700007;0.27837964280653726717
367;Institutionen för arkitektur;000324048800014;0.00000000000000000000
367;Institutionen för arkitektur;000324049400017;0.22554910977057889329
373;Institutionen för bygg- och miljöteknik;000272056500001;0.40732473039649901547
373;Institutionen för bygg- och miljöteknik;000273950100008;0.19697102611024336638
373;Institutionen för bygg- och miljöteknik;000273968100002;0.76491439720589108421
373;Institutionen för bygg- och miljöteknik;000274259300007;0.48877350574919576683
373;Institutionen för bygg- och miljöteknik;000274758700006;0.00000000000000000000
373;Institutionen för bygg- och miljöteknik;000275232400003;0.61098709559474852320
373;Institutionen för bygg- och miljöteknik;000276164500003;0.42881333854368752456
373;Institutionen för bygg- och miljöteknik;000276405200003;0.00000000000000000000
373;Institutionen för bygg- och miljöteknik;000276652800003;0.23388908596428539783
373;Institutionen för bygg- och miljöteknik;000277645300006;0.24528349158931158038
373;Institutionen för bygg- och miljöteknik;000278013600004;0.12219337643729894171
373;Institutionen för bygg- och miljöteknik;000278296900006;0.40732473039649901547
373;Institutionen för bygg- och miljöteknik;000278378200010;0.23249643483984456339
373;Institutionen för bygg- och miljöteknik;000278682000017;0.39394205222048673277
373;Institutionen för bygg- och miljöteknik;000279640000003;0.21440666927184376228
373;Institutionen för bygg- och miljöteknik;000279823000017;1.6372236017499978
373;Institutionen för bygg- och miljöteknik;000279823000019;0.00000000000000000000
373;Institutionen för bygg- och miljöteknik;000280076500006;0.31772260233539998271
373;Institutionen för bygg- och miljöteknik;000280538700020;0.28671231299880658803
373;Institutionen för bygg- och miljöteknik;000280610200002;0.30181377433064766546
373;Institutionen för bygg- och miljöteknik;000280778700026;1.5583277095619495
373;Institutionen för bygg- och miljöteknik;000280952200001;0.00000000000000000000
373;Institutionen för bygg- och miljöteknik;000281251500008;0.15962165620257547378
373;Institutionen för bygg- och miljöteknik;000281945700001;3.0481371321154765
373;Institutionen för bygg- och miljöteknik;000281945700002;2.6126889703846942
373;Institutionen för bygg- och miljöteknik;000281988300022;0.79260654146828167642
373;Institutionen för bygg- och miljöteknik;000282053500003;0.00000000000000000000
373;Institutionen för bygg- och miljöteknik;000282592100005;0.00000000000000000000
373;Institutionen för bygg- och miljöteknik;000283044000003;0.00000000000000000000
373;Institutionen för bygg- och miljöteknik;000283331100019;3.5525785002302080
373;Institutionen för bygg- och miljöteknik;000284278800013;0.23562958096991636576
373;Institutionen för bygg- och miljöteknik;000284899300031;0.00000000000000000000
373;Institutionen för bygg- och miljöteknik;000285706400002;2.2175418536693838
373;Institutionen för bygg- och miljöteknik;000285783600001;0.25085149569399994758
373;Institutionen för bygg- och miljöteknik;000285820500004;2.7846703060538917
373;Institutionen för bygg- och miljöteknik;000286027300022;0.21240702187998416520
373;Institutionen för bygg- och miljöteknik;000286113700012;0.41723616882446742554
373;Institutionen för bygg- och miljöteknik;000287181200019;0.42481404375996833041
373;Institutionen för bygg- och miljöteknik;000288926300005;1.4373386114544805
373;Institutionen för bygg- och miljöteknik;000289438300009;0.48440687761734620011
373;Institutionen för bygg- och miljöteknik;000289968000024;0.74342457657994457821
373;Institutionen för bygg- och miljöteknik;000290274500001;1.4822546559810532
373;Institutionen för bygg- och miljöteknik;000291596600002;0.25412915181179649990
373;Institutionen för bygg- och miljöteknik;000291627300008;0.57395576009647991707
373;Institutionen för bygg- och miljöteknik;000291727000052;0.19927876832669390542
373;Institutionen för bygg- och miljöteknik;000291777600039;0.42956069599159579189
373;Institutionen för bygg- och miljöteknik;000291806400002;1.5286195504175895
373;Institutionen för bygg- och miljöteknik;000291958500007;1.4603265908856360
373;Institutionen för bygg- och miljöteknik;000292516700003;0.18174415915710141362
373;Institutionen för bygg- och miljöteknik;000292670600010;2.2958230403859197
373;Institutionen för bygg- och miljöteknik;000292947800002;0.53101755469996041301
373;Institutionen för bygg- och miljöteknik;000293070600027;0.21240702187998416520
373;Institutionen för bygg- och miljöteknik;000294198200002;0.73053312119240170625
373;Institutionen för bygg- och miljöteknik;000295208700007;1.4209152601357293
373;Institutionen för bygg- och miljöteknik;000295976000065;0.22478460262520995735
373;Institutionen för bygg- och miljöteknik;000297260200007;0.33396153588135000589
373;Institutionen för bygg- och miljöteknik;000297573100006;0.52266858598344746797
373;Institutionen för bygg- och miljöteknik;000298363300044;0.19536786310722549159
373;Institutionen för bygg- och miljöteknik;000299136200043;1.5521207941070008
373;Institutionen för bygg- och miljöteknik;000299958700002;3.6175423685860508
373;Institutionen för bygg- och miljöteknik;000300018000004;0.00000000000000000000
373;Institutionen för bygg- och miljöteknik;000300266000003;2.3680495297952274
373;Institutionen för bygg- och miljöteknik;000300488800038;0.57776388502983769371
373;Institutionen för bygg- och miljöteknik;000301012600006;0.61154066676684739655
373;Institutionen för bygg- och miljöteknik;000301270500013;0.59201238244880686157
373;Institutionen för bygg- och miljöteknik;000301990300081;0.58610358932167647477
