instid;en_name;cat;journalnumb;n;jf;jfxpub
368;Department of Energy and Environment;ENGINEERING, PETROLEUM;1;4;0.636;2.544
368;Department of Energy and Environment;METALLURGY & METALLURGICAL ENGINEERING;1;1;0.594;0.594
368;Department of Energy and Environment;COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS;3;4;0.593;2.372
368;Department of Energy and Environment;WATER RESOURCES;1;1;0.581;0.581
368;Department of Energy and Environment;MATERIALS SCIENCE, PAPER & WOOD;5;12;0.549;6.588
368;Department of Energy and Environment;COMPUTER SCIENCE, HARDWARE & ARCHITECTURE;1;1;0.545;0.545
368;Department of Energy and Environment;MATHEMATICS, APPLIED;2;3;0.482;1.446
368;Department of Energy and Environment;FORESTRY;2;2;0.481;0.962
368;Department of Energy and Environment;MATHEMATICS, INTERDISCIPLINARY APPLICATIONS;1;1;0.429;0.429
369;Department of Chemical and Biological Engineering;PHYSICS, CONDENSED MATTER;16;55;2.627;144.485
369;Department of Chemical and Biological Engineering;PHYSICS, APPLIED;33;79;2.455;193.945
369;Department of Chemical and Biological Engineering;PARASITOLOGY;1;1;2.383;2.383
369;Department of Chemical and Biological Engineering;REPRODUCTIVE BIOLOGY;1;1;2.108;2.108
369;Department of Chemical and Biological Engineering;OBSTETRICS & GYNECOLOGY;1;1;2.108;2.108
369;Department of Chemical and Biological Engineering;MECHANICS;8;10;1.989;19.890
369;Department of Chemical and Biological Engineering;NANOSCIENCE & NANOTECHNOLOGY;26;84;1.981;166.404
369;Department of Chemical and Biological Engineering;HEMATOLOGY;2;3;1.949;5.847
369;Department of Chemical and Biological Engineering;MATERIALS SCIENCE, TEXTILES;3;14;1.948;27.272
369;Department of Chemical and Biological Engineering;COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS;1;1;1.926;1.926
369;Department of Chemical and Biological Engineering;GASTROENTEROLOGY & HEPATOLOGY;2;2;1.880;3.760
369;Department of Chemical and Biological Engineering;MATERIALS SCIENCE, MULTIDISCIPLINARY;61;231;1.831;422.961
369;Department of Chemical and Biological Engineering;OPTICS;11;15;1.791;26.865
369;Department of Chemical and Biological Engineering;ENERGY & FUELS;26;118;1.765;208.270
369;Department of Chemical and Biological Engineering;AGRONOMY;1;1;1.737;1.737
369;Department of Chemical and Biological Engineering;OPHTHALMOLOGY;1;1;1.705;1.705
369;Department of Chemical and Biological Engineering;CHEMISTRY, MULTIDISCIPLINARY;43;186;1.653;307.458
369;Department of Chemical and Biological Engineering;AGRICULTURAL ENGINEERING;3;20;1.600;32.000
369;Department of Chemical and Biological Engineering;VIROLOGY;2;2;1.592;3.184
369;Department of Chemical and Biological Engineering;MATERIALS SCIENCE, COMPOSITES;1;1;1.584;1.584
369;Department of Chemical and Biological Engineering;CHEMISTRY, PHYSICAL;64;352;1.545;543.840
369;Department of Chemical and Biological Engineering;MULTIDISCIPLINARY SCIENCES;6;52;1.543;80.236
369;Department of Chemical and Biological Engineering;ENGINEERING, ENVIRONMENTAL;15;63;1.538;96.894
369;Department of Chemical and Biological Engineering;STATISTICS & PROBABILITY;1;1;1.519;1.519
369;Department of Chemical and Biological Engineering;COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE;1;1;1.519;1.519
369;Department of Chemical and Biological Engineering;AUTOMATION & CONTROL SYSTEMS;1;1;1.519;1.519
369;Department of Chemical and Biological Engineering;FOOD SCIENCE & TECHNOLOGY;16;36;1.479;53.244
369;Department of Chemical and Biological Engineering;AGRICULTURE, MULTIDISCIPLINARY;2;9;1.477;13.293
369;Department of Chemical and Biological Engineering;BIOLOGY;5;5;1.449;7.245
369;Department of Chemical and Biological Engineering;ENGINEERING, MULTIDISCIPLINARY;3;6;1.417;8.502
369;Department of Chemical and Biological Engineering;NUTRITION & DIETETICS;10;18;1.415;25.470
369;Department of Chemical and Biological Engineering;METALLURGY & METALLURGICAL ENGINEERING;7;27;1.408;38.016
369;Department of Chemical and Biological Engineering;CHEMISTRY, ORGANIC;15;49;1.385;67.865
369;Department of Chemical and Biological Engineering;POLYMER SCIENCE;25;103;1.383;142.449
369;Department of Chemical and Biological Engineering;ENGINEERING, CHEMICAL;39;157;1.330;208.810
369;Department of Chemical and Biological Engineering;ENGINEERING, MECHANICAL;6;7;1.312;9.184
369;Department of Chemical and Biological Engineering;CHEMISTRY, ANALYTICAL;18;54;1.305;70.470
369;Department of Chemical and Biological Engineering;BIOTECHNOLOGY & APPLIED MICROBIOLOGY;46;181;1.303;235.843
369;Department of Chemical and Biological Engineering;ENVIRONMENTAL SCIENCES;23;46;1.301;59.846
369;Department of Chemical and Biological Engineering;PLANT SCIENCES;3;3;1.292;3.876
369;Department of Chemical and Biological Engineering;BIOCHEMISTRY & MOLECULAR BIOLOGY;45;102;1.265;129.030
369;Department of Chemical and Biological Engineering;ECOLOGY;1;1;1.261;1.261
369;Department of Chemical and Biological Engineering;MARINE & FRESHWATER BIOLOGY;1;1;1.261;1.261
369;Department of Chemical and Biological Engineering;MATERIALS SCIENCE, PAPER & WOOD;10;52;1.257;65.364
369;Department of Chemical and Biological Engineering;FORESTRY;2;3;1.253;3.759
369;Department of Chemical and Biological Engineering;PHYSICS, MATHEMATICAL;2;2;1.234;2.468
369;Department of Chemical and Biological Engineering;PHARMACOLOGY & PHARMACY;12;35;1.227;42.945
369;Department of Chemical and Biological Engineering;GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY;6;19;1.224;23.256
369;Department of Chemical and Biological Engineering;METEOROLOGY & ATMOSPHERIC SCIENCES;3;4;1.223;4.892
369;Department of Chemical and Biological Engineering;CLINICAL NEUROLOGY;1;1;1.201;1.201
369;Department of Chemical and Biological Engineering;MATERIALS SCIENCE, CHARACTERIZATION & TESTING;2;2;1.200;2.400
369;Department of Chemical and Biological Engineering;DENTISTRY/ORAL SURGERY & MEDICINE;11;14;1.194;16.716
369;Department of Chemical and Biological Engineering;ELECTROCHEMISTRY;11;27;1.191;32.157
369;Department of Chemical and Biological Engineering;CHEMISTRY, APPLIED;17;74;1.186;87.764
369;Department of Chemical and Biological Engineering;PHYSICS, MULTIDISCIPLINARY;3;27;1.160;31.320
369;Department of Chemical and Biological Engineering;EVOLUTIONARY BIOLOGY;1;1;1.159;1.159
369;Department of Chemical and Biological Engineering;ENGINEERING, BIOMEDICAL;12;28;1.147;32.116
369;Department of Chemical and Biological Engineering;ENGINEERING, CIVIL;4;4;1.140;4.560
369;Department of Chemical and Biological Engineering;TOXICOLOGY;2;4;1.102;4.408
369;Department of Chemical and Biological Engineering;MATERIALS SCIENCE, BIOMATERIALS;15;36;1.088;39.168
369;Department of Chemical and Biological Engineering;MEDICINE, GENERAL & INTERNAL;1;1;1.084;1.084
369;Department of Chemical and Biological Engineering;PERIPHERAL VASCULAR DISEASE;1;1;1.080;1.080
369;Department of Chemical and Biological Engineering;MINING & MINERAL PROCESSING;1;1;1.079;1.079
369;Department of Chemical and Biological Engineering;MINERALOGY;1;1;1.079;1.079
369;Department of Chemical and Biological Engineering;WATER RESOURCES;3;4;1.071;4.284
369;Department of Chemical and Biological Engineering;AGRICULTURE, DAIRY & ANIMAL SCIENCE;2;2;1.070;2.140
369;Department of Chemical and Biological Engineering;ALLERGY;2;2;1.040;2.080
369;Department of Chemical and Biological Engineering;BIOCHEMICAL RESEARCH METHODS;19;52;1.036;53.872
369;Department of Chemical and Biological Engineering;ENDOCRINOLOGY & METABOLISM;6;7;1.035;7.245
369;Department of Chemical and Biological Engineering;THERMODYNAMICS;7;11;1.010;11.110
369;Department of Chemical and Biological Engineering;DERMATOLOGY;1;1;1.009;1.009
369;Department of Chemical and Biological Engineering;PHYSICS, ATOMIC, MOLECULAR & CHEMICAL;12;53;1.006;53.318
369;Department of Chemical and Biological Engineering;CHEMISTRY, INORGANIC & NUCLEAR;14;51;1.003;51.153
369;Department of Chemical and Biological Engineering;MATERIALS SCIENCE, CERAMICS;1;2;1.000;2.000
369;Department of Chemical and Biological Engineering;MICROBIOLOGY;18;47;0.999;46.953
369;Department of Chemical and Biological Engineering;MATHEMATICAL & COMPUTATIONAL BIOLOGY;7;26;0.999;25.974
369;Department of Chemical and Biological Engineering;OCEANOGRAPHY;1;2;0.989;1.978
369;Department of Chemical and Biological Engineering;GEOCHEMISTRY & GEOPHYSICS;1;2;0.967;1.934
369;Department of Chemical and Biological Engineering;SPECTROSCOPY;6;8;0.957;7.656
369;Department of Chemical and Biological Engineering;PHYSICS, FLUIDS & PLASMAS;3;3;0.949;2.847
369;Department of Chemical and Biological Engineering;ENGINEERING, ELECTRICAL & ELECTRONIC;6;8;0.948;7.584
369;Department of Chemical and Biological Engineering;CHEMISTRY, MEDICINAL;9;26;0.946;24.596
369;Department of Chemical and Biological Engineering;NEUROSCIENCES;5;7;0.939;6.573
369;Department of Chemical and Biological Engineering;MATHEMATICS, INTERDISCIPLINARY APPLICATIONS;3;7;0.931;6.517
369;Department of Chemical and Biological Engineering;CONSTRUCTION & BUILDING TECHNOLOGY;3;3;0.915;2.745
369;Department of Chemical and Biological Engineering;BIOPHYSICS;15;28;0.889;24.892
369;Department of Chemical and Biological Engineering;ASTRONOMY & ASTROPHYSICS;1;1;0.884;0.884
369;Department of Chemical and Biological Engineering;GEOSCIENCES, MULTIDISCIPLINARY;1;1;0.884;0.884
369;Department of Chemical and Biological Engineering;GENETICS & HEREDITY;9;12;0.830;9.960
369;Department of Chemical and Biological Engineering;MYCOLOGY;3;17;0.817;13.889
369;Department of Chemical and Biological Engineering;MEDICINE, RESEARCH & EXPERIMENTAL;5;5;0.814;4.070
369;Department of Chemical and Biological Engineering;IMMUNOLOGY;3;3;0.813;2.439
369;Department of Chemical and Biological Engineering;EDUCATION & EDUCATIONAL RESEARCH;2;4;0.808;3.232
369;Department of Chemical and Biological Engineering;INSTRUMENTS & INSTRUMENTATION;10;13;0.779;10.127
369;Department of Chemical and Biological Engineering;CELL & TISSUE ENGINEERING;3;4;0.769;3.076
369;Department of Chemical and Biological Engineering;GEOGRAPHY, PHYSICAL;1;1;0.746;0.746
369;Department of Chemical and Biological Engineering;GEOLOGY;1;1;0.746;0.746
369;Department of Chemical and Biological Engineering;SURGERY;1;1;0.746;0.746
369;Department of Chemical and Biological Engineering;PEDIATRICS;1;1;0.744;0.744
369;Department of Chemical and Biological Engineering;CELL BIOLOGY;8;10;0.735;7.350
369;Department of Chemical and Biological Engineering;PHYSIOLOGY;4;4;0.730;2.920
369;Department of Chemical and Biological Engineering;RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING;3;6;0.713;4.278
369;Department of Chemical and Biological Engineering;MATERIALS SCIENCE, COATINGS & FILMS;6;15;0.700;10.500
369;Department of Chemical and Biological Engineering;NUCLEAR SCIENCE & TECHNOLOGY;11;30;0.683;20.490
369;Department of Chemical and Biological Engineering;SPORT SCIENCES;1;1;0.679;0.679
369;Department of Chemical and Biological Engineering;MICROSCOPY;3;5;0.668;3.340
369;Department of Chemical and Biological Engineering;CRYSTALLOGRAPHY;11;31;0.638;19.778
369;Department of Chemical and Biological Engineering;ENGINEERING, PETROLEUM;1;2;0.636;1.272
369;Department of Chemical and Biological Engineering;ONCOLOGY;2;2;0.611;1.222
369;Department of Chemical and Biological Engineering;PHYSICS, NUCLEAR;1;3;0.602;1.806
369;Department of Chemical and Biological Engineering;ARCHITECTURE;1;1;0.543;0.543
369;Department of Chemical and Biological Engineering;RESPIRATORY SYSTEM;3;4;0.513;2.052
369;Department of Chemical and Biological Engineering;TRANSPORTATION SCIENCE & TECHNOLOGY;1;1;0.462;0.462
369;Department of Chemical and Biological Engineering;CARDIAC & CARDIOVASCULAR SYSTEMS;1;1;0.346;0.346
369;Department of Chemical and Biological Engineering;EDUCATION, SCIENTIFIC DISCIPLINES;1;1;0.312;0.312
370;Department of Materials and Manufacturing Technology;MATERIALS SCIENCE, COMPOSITES;1;1;1.935;1.935
370;Department of Materials and Manufacturing Technology;CHEMISTRY, ORGANIC;1;3;1.673;5.019
370;Department of Materials and Manufacturing Technology;SPECTROSCOPY;1;1;1.617;1.617
370;Department of Materials and Manufacturing Technology;CHEMISTRY, APPLIED;4;6;1.448;8.688
370;Department of Materials and Manufacturing Technology;FOOD SCIENCE & TECHNOLOGY;3;3;1.420;4.260
370;Department of Materials and Manufacturing Technology;PHARMACOLOGY & PHARMACY;3;3;1.417;4.251
370;Department of Materials and Manufacturing Technology;MATERIALS SCIENCE, PAPER & WOOD;1;1;1.322;1.322
370;Department of Materials and Manufacturing Technology;ENVIRONMENTAL SCIENCES;1;2;1.066;2.132
370;Department of Materials and Manufacturing Technology;BIOCHEMISTRY & MOLECULAR BIOLOGY;1;1;1.053;1.053
370;Department of Materials and Manufacturing Technology;MATERIALS SCIENCE, CHARACTERIZATION & TESTING;6;10;1.022;10.220
370;Department of Materials and Manufacturing Technology;MULTIDISCIPLINARY SCIENCES;1;1;1.010;1.010
370;Department of Materials and Manufacturing Technology;MATERIALS SCIENCE, COATINGS & FILMS;3;4;0.978;3.912
370;Department of Materials and Manufacturing Technology;AUTOMATION & CONTROL SYSTEMS;1;4;0.916;3.664
